CREATION_DATE,OBJECT_ID,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE
2021-11-01T04:58:37,2002-038A,36054.58.00,PAYLOAD,LARGE,EUTELSAT,2002,AFETR
2021-10-31T06:16:10,2002-038B,248.08.00,ROCKET BODY,LARGE,STATI UNITI,2002,AFETR
2021-11-01T06:36:11,2002-039A,36256.35.00,PAYLOAD,LARGE,STATI UNITI,2002,TTMTR
2021-11-01T04:58:37,2002-039B,4348.44.00,ROCKET BODY,LARGE,EX USSR,2002,TTMTR
2021-11-01T04:58:37,2002-040A,36329.37.00,PAYLOAD,LARGE,EUTELSAT,2002,FRANCIAGUI
2021-10-31T18:07:15,2002-040B,35780.59.00,PAYLOAD,LARGE,EUROPA E MEDIO ORIENTE,2002,FRANCIAGUI
2021-10-31T18:07:15,2002-040C,549.07.00,ROCKET BODY,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T06:46:11,2002-040D,616.27.00,DEBRIS,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-041A,35782.47.00,PAYLOAD,LARGE,INTELSAT,2002,FRANCIAGUI
2021-10-31T18:07:15,2002-042B,36001.23.00,PAYLOAD,LARGE,GIAPPONE,2002,TNSTA
2021-11-01T06:26:11,2002-042D,440.18.00,ROCKET BODY,LARGE,GIAPPONE,2002,TNSTA
2021-10-31T18:07:15,2002-043A,36320.38.00,PAYLOAD,LARGE,INDIA,2002,SRI
2021-11-01T04:58:37,2002-044A,35771.24.00,PAYLOAD,LARGE,SPAGNA,2002,AFETR
2021-11-01T04:58:37,2001-049MV,415.03.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2002-046A,965.41.00,PAYLOAD,LARGE,EX USSR,2002,PKMTR
